,0
ENSG00000111801,0.2452613
ENSG00000122025,0.15307717
ENSG00000188130,0.10271382
ENSG00000088727,0.076298706
ENSG00000166971,0.03134891
ENSG00000163909,0.028863031
ENSG00000135074,0.02836209
ENSG00000226979,0.020775562
ENSG00000104043,0.012541698
ENSG00000108039,0.0104614245
ENSG00000078399,0.008587764
ENSG00000172345,0.008533741
ENSG00000198046,0.0082789725
ENSG00000123562,0.008072127
ENSG00000101224,0.007973717
ENSG00000184313,0.007959383
ENSG00000141873,0.006311173
ENSG00000055163,0.0060147303
ENSG00000270069,0.006004034
ENSG00000168906,0.005899188
ENSG00000240322,0.0056003584
ENSG00000254388,0.005268366
ENSG00000162390,0.005261638
ENSG00000121210,0.005228821
ENSG00000206337,0.0050787623
ENSG00000198075,0.004954586
ENSG00000179144,0.0049435715
ENSG00000260128,0.0048961393
ENSG00000242612,0.0048479997
ENSG00000067057,0.0048114196
ENSG00000100351,0.0044429055
ENSG00000163947,0.0041618026
ENSG00000162775,0.00408619
ENSG00000167083,0.00406086
ENSG00000106976,0.0039677843
ENSG00000136783,0.0039452245
ENSG00000074706,0.0039004127
ENSG00000186998,0.0037325623
ENSG00000163738,0.0037026682
ENSG00000248866,0.003213664
ENSG00000140368,0.0029940638
ENSG00000113648,0.0029237552
ENSG00000237254,0.002857397
ENSG00000134539,0.0028118596
ENSG00000175352,0.0027494477
ENSG00000225264,0.0025927825
ENSG00000168405,0.0025848541
ENSG00000162894,0.0024843668
ENSG00000248643,0.0024788873
ENSG00000158122,0.002447659
ENSG00000146826,0.0024166617
ENSG00000132640,0.0022988424
ENSG00000182866,0.0022935073
ENSG00000172183,0.00223969
ENSG00000204305,0.0022134837
ENSG00000172349,0.0020959165
ENSG00000204642,0.0020763103
ENSG00000181045,0.002034184
ENSG00000171150,0.001984919
ENSG00000129219,0.0019835928
ENSG00000135185,0.0019533772
ENSG00000198873,0.0019481934
ENSG00000261485,0.0018974916
ENSG00000166352,0.0018580375
ENSG00000069493,0.0018542837
ENSG00000266094,0.0017393607
ENSG00000174776,0.0017363988
ENSG00000203666,0.0016134036
ENSG00000214447,0.0015565314
ENSG00000184640,0.0015541911
ENSG00000249740,0.001544412
ENSG00000267128,0.0015360921
ENSG00000144749,0.0015292933
ENSG00000111796,0.0014977371
ENSG00000211772,0.0014721451
ENSG00000096433,0.0014356532
ENSG00000186469,0.0014303173
ENSG00000173905,0.001344312
ENSG00000136636,0.0012295388
ENSG00000163378,0.0011670479
ENSG00000127511,0.0011365651
ENSG00000235532,0.001091819
ENSG00000008517,0.0010847847
ENSG00000137078,0.0010618882
ENSG00000141337,0.0010298407
ENSG00000139970,0.0009725784
ENSG00000073792,0.0009600411
ENSG00000144792,0.0009226817
ENSG00000155158,0.000921115
ENSG00000188070,0.00091434777
ENSG00000168487,0.00087717315
ENSG00000272523,0.0008107107
ENSG00000197063,0.00081000273
ENSG00000128791,0.00079747406
ENSG00000275023,0.0007770553
ENSG00000213626,0.000774054
ENSG00000154822,0.0007715062
ENSG00000104427,0.00072949
ENSG00000169220,0.00070455373
ENSG00000146409,0.0006946364
ENSG00000120669,0.0006808436
ENSG00000235576,0.0006772982
ENSG00000259075,0.00067717524
ENSG00000180739,0.0006251081
ENSG00000155961,0.0006090135
ENSG00000167081,0.0006024862
ENSG00000120664,0.0005975576
ENSG00000143365,0.00059698086
ENSG00000261279,0.0005966952
ENSG00000171033,0.0005864804
ENSG00000166455,0.00057974027
ENSG00000101574,0.0005468478
ENSG00000142102,0.0004967749
ENSG00000171612,0.00047089573
ENSG00000131242,0.00046878125
ENSG00000166289,0.00046658466
ENSG00000275066,0.00044172257
ENSG00000196405,0.00042096243
ENSG00000107736,0.0004179326
ENSG00000112245,0.00039857576
ENSG00000259305,0.00039794782
ENSG00000101842,0.00039180162
ENSG00000153563,0.0003891885
ENSG00000229671,0.00038791492
ENSG00000139668,0.00038182057
ENSG00000169641,0.00038011724
ENSG00000256806,0.00037750334
ENSG00000150457,0.00037731603
ENSG00000232163,0.0003768984
ENSG00000225377,0.00037561738
ENSG00000107485,0.00037543988
ENSG00000100379,0.00036584886
ENSG00000146285,0.00036291993
ENSG00000106665,0.00035556144
ENSG00000108861,0.00035225376
ENSG00000264745,0.00034665334
ENSG00000198821,0.00034309752
ENSG00000211713,0.00033945893
ENSG00000183935,0.00033275917
ENSG00000170677,0.00032781943
ENSG00000246898,0.0003260493
ENSG00000104936,0.00032241337
ENSG00000142686,0.00031458316
ENSG00000235436,0.0003126986
ENSG00000146858,0.0003032943
ENSG00000001630,0.00030309244
ENSG00000139266,0.00029847177
ENSG00000162391,0.00029622187
ENSG00000155893,0.00028296883
ENSG00000157873,0.0002740167
ENSG00000013725,0.0002708577
ENSG00000238164,0.00025713904
ENSG00000237248,0.00025029609
ENSG00000106853,0.00024948857
ENSG00000122644,0.0002493747
ENSG00000166664,0.00023929444
ENSG00000204592,0.0002311605
ENSG00000137185,0.00021918598
ENSG00000158806,0.00021108525
ENSG00000172215,0.00020828958
ENSG00000154153,0.00020718771
ENSG00000006756,0.00020680744
ENSG00000131018,0.00019009857
ENSG00000161791,0.00018180028
ENSG00000165935,0.00017648099
ENSG00000281991,0.00016841124
ENSG00000147231,0.00016717681
ENSG00000233306,0.00016378752
ENSG00000131042,0.00015603646
ENSG00000078687,0.0001556849
ENSG00000111640,0.00014547145
ENSG00000162694,0.0001414238
ENSG00000075618,0.0001304145
ENSG00000141524,0.000117222204
ENSG00000167286,0.00010755115
ENSG00000189423,0.00010635907
ENSG00000174500,0.00010326955
ENSG00000107443,0.000102751124
ENSG00000249667,9.802357e-05
ENSG00000167895,9.4563824e-05
ENSG00000082458,8.699155e-05
ENSG00000115085,8.2770624e-05
ENSG00000117139,8.2628205e-05
ENSG00000182903,8.0210346e-05
ENSG00000277734,7.831021e-05
ENSG00000151725,7.490954e-05
ENSG00000175463,7.2942166e-05
ENSG00000169635,7.1431794e-05
ENSG00000160613,7.1347844e-05
ENSG00000120458,7.118762e-05
ENSG00000245954,7.081129e-05
ENSG00000183479,6.575558e-05
ENSG00000162851,6.567218e-05
ENSG00000269911,6.22522e-05
ENSG00000186470,5.6987818e-05
ENSG00000251595,5.403605e-05
ENSG00000110237,4.9559774e-05
ENSG00000146281,4.5621826e-05
ENSG00000227855,4.5160083e-05
ENSG00000160113,4.2860374e-05
